code,name,gender,country_code,events,birth_date,coach
1924505,WILKINSON Callum,M,GBR,"[""Men's 20km Race Walk""]",14/3/1997,Personal: Robert Heffernan (IRL)
1924506,WILLIAMS Jodie,F,GBR,"[""Women's 4 x 400m Relay"" '4 x 400m Relay Mixed']",28/9/1993,Personal: Ryan Freckleton (GBR)
1924507,WILLIAMS Bianca,F,GBR,"[""Women's 200m"" ""Women's 4 x 100m Relay""]",18/12/1993,Personal: Linford Christie (GBR)
1924509,YEARGIN Nicole,F,GBR,"[""Women's 4 x 400m Relay"" '4 x 400m Relay Mixed']",11/8/1997,Personal: Quincy Watts (USA)
1924559,NICKA,F,LTU,['B-Girls'],8/6/2007,
1924576,SANTARELLI Andrea,M,ITA,"[""Men's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿"" ""Men's ï¿½ï¿½ï¿½ï¿""]",3/6/1993,
1924583,CIMINI Gabriele,M,ITA,"[""Men's ï¿½ï¿½ï¿½ï¿""]",9/6/1994,
1924585,FIAMINGO Rossella,F,ITA,"[""Women's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿"" ""Women's ï¿½ï¿½ï¿½ï¿""]",14/7/1991,
1924586,NAVARRIA Mara,F,ITA,"[""Women's ï¿½ï¿½ï¿½ï¿""]",18/7/1985,
1924587,SANTUCCIO Alberta,F,ITA,"[""Women's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿"" ""Women's ï¿½ï¿½ï¿½ï¿""]",22/10/1994,
1924588,RIZZI Giulia,F,ITA,"[""Women's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿"" ""Women's ï¿½ï¿½ï¿½ï¿""]",20/6/1989,
1924595,SAMELE Luigi,M,ITA,"[""Men's Sabre Individual"" ""Men's Sabre Team""]",25/7/1987,National: Nicola Zanotti (ITA)
1924596,CURATOLI Luca,M,ITA,"[""Men's Sabre Individual"" ""Men's Sabre Team""]",25/7/1994,Leonardo Caserta (ITA) his half-brother
1924597,GALLO Michele,M,ITA,"[""Men's Sabre Individual"" ""Men's Sabre Team""]",18/5/2001,Technical: Nicola Zanotti (ITA)
1924598,TORRE Pietro,M,ITA,"[""Men's Sabre Team""]",6/5/2002,
1924605,CRISCIO Martina,F,ITA,"[""Women's Sabre Individual"" ""Women's Sabre Team""]",24/1/1994,
1924606,BATTISTON Michela,F,ITA,"[""Women's Sabre Individual"" ""Women's Sabre Team""]",15/9/1997,
1924607,MORMILE Chiara,F,ITA,"[""Women's Sabre Individual"" ""Women's Sabre Team""]",30/5/1995,
1924608,VECCHI Irene,F,ITA,"[""Women's Sabre Team""]",10/6/1989,
1924881,LIMARDO GASCON Ruben,M,VEN,"[""Men's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿"" ""Men's ï¿½ï¿½ï¿½ï¿""]",3/8/1985,National: Benry Martinez
1924884,JASIUNAS Rytis,M,LTU,"[""Men's Windsurfing""]",20/7/1994,
1924885,ANDRULYTE Viktorija,F,LTU,"[""Women's Dinghy""]",16/4/1992,Arthur Barrue (ESP)
1924894,LUGO Grabiel,M,VEN,"[""Men's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿"" ""Men's ï¿½ï¿½ï¿½ï¿""]",19/9/1996,
1924905,TVOROGAL Robert,M,LTU,"['Men' ""Men's Horizontal Bar"" ""Men's Parallel Bars""]",5/10/1994,Personal: Jevgenij Izmodenov (LTU)
1924909,LIMARDO Francisco,M,VEN,"[""Men's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿"" ""Men's ï¿½ï¿½ï¿½ï¿""]",27/3/1987,National: Benry Martinez
1924914,BRICENO Thomas,M,CHI,['Men -100 kg'],16/9/1993,Raul Vergara
1924918,LIMARDO Jesus,M,VEN,"[""Men's ï¿½ï¿½ï¿½ï¿""]",29/2/1996,
1924937,DILYTE Gabija,F,LTU,"[""Women's Freestyle 50kg""]",9/9/2003,
1924941,COLLYMORE Tilly,F,GRN,"[""Women's 100m Freestyle""]",27/11/2007,
1924957,PAREDES TORRES Katherine F,F,VEN,"[""Women's Sabre Individual""]",22/5/1998,
1925060,RODRIGUEZ OROZCO Raiber Jose,M,VEN,"[""Men's Greco-Roman 60kg""]",28/12/1990,
1925079,MONTERO CHIRINOS Anthony Jose,M,VEN,"[""Men's Freestyle 74kg""]",24/5/1997,
1925088,ARGUELLO VILLEGAS Betzabeth Angeli,F,VEN,"[""Women's Freestyle 53kg""]",28/1/1991,
1925091,CARABALLO HERNANDEZ Soleymi Antoni,F,VEN,"[""Women's Freestyle 68kg""]",17/6/1994,
1925098,BARRIOS Anriquelis,F,VEN,['Women -63 kg'],20/8/1993,National: Kilmar Campos (VEN) Pablo Barrios (VEN)
1925106,METELLUS Philippe Abel,M,HAI,['Men -73 kg'],30/5/1990,Ernst Laraque (HAI)
1925121,HO Ian Yentou,M,HKG,"[""Men's 100m Freestyle"" ""Men's 50m Freestyle""]",25/4/1997,National: Chen Jianhong (CHN)
1925123,AU Hoi Shun Stephanie,F,HKG,"[""Women's 4 x 100m Freestyle Relay"" ""Women's 4 x 100m Medley Relay"" 'Relay Only Athlete']",30/5/1992,Personal: Zhang Diyong
1925124,CHENG Camille Lily Mei,F,HKG,"[""Women's 4 x 100m Freestyle Relay"" 'Relay Only Athlete']",9/5/1993,
1925125,HAUGHEY Siobhan Bernadette,F,HKG,"[""Women's 100m Freestyle"" ""Women's 200m Freestyle"" ""Women's 4 x 100m Medley Relay""]",31/10/1997,Personal: Rick Bishop (USA) Tom Rushton (GBR)
1925126,KAN Cheuk Tung Natalie,F,HKG,"[""Women's 4 x 100m Freestyle Relay"" ""Women's 4 x 100m Medley Relay"" 'Relay Only Athlete']",30/4/2002,Club: Chen Jianhong in Hong Kong / Matt Bowe (GBR) in Michigan (USA)
1925129,TAM Hoi Lam,F,HKG,"[""Women's 4 x 100m Freestyle Relay"" ""Women's 4 x 100m Medley Relay"" 'Relay Only Athlete']",21/4/1998,Club: Chen Jianhong
1925130,CHEUNG Sum Yuet Cindy,F,HKG,"[""Women's 100m Backstroke"" ""Women's 200m Backstroke""]",9/8/2006,Club: Chen Jianhong (CHN)
1925164,LEE Cheuk Yiu,M,HKG,"[""Men's Singles""]",28/8/1996,National: Wong Choong Hann (MAS)
1925167,TANG Chun Man,M,HKG,['Mixed Doubles'],20/3/1995,
1925168,LO Sin Yan Happy,F,HKG,"[""Women's Singles""]",25/2/2003,
1925170,TSE Ying Suet,F,HKG,['Mixed Doubles'],9/11/1991,
1925171,YEUNG Nga Ting,F,HKG,"[""Women's Doubles""]",13/10/1998,
1925172,YEUNG Pui Lam,F,HKG,"[""Women's Doubles""]",26/10/2001,
1925180,KIFLE Aron,M,ERI,"[""Men's 5000m""]",20/2/1998,
1925255,PRIMOVA Aynura,F,TKM,"[""Women's 100m Backstroke""]",2/9/2006,
1925275,TOTI Giovanni,M,ITA,"[""Men's Singles""]",28/12/2000,National: Zhou Junling (CHN)
1925301,ANTI,F,ITA,['B-Girls'],30/11/1997,Personal: Alberto Pelus
1925346,SCUTTO Assunta,F,ITA,['Women -48 kg' 'Mixed Team'],17/1/2002,Antonio Ciano (ITA)
1925347,GIUFFRIDA Odette,F,ITA,['Women -52 kg' 'Mixed Team'],12/10/1994,National: Francesco Bruyere (ITA)
1925348,TONIOLO Veronica,F,ITA,['Women -57 kg' 'Mixed Team'],20/5/2003,Raffaele Toniolo (ITA) - her father
1925349,BELLANDI Alice,F,ITA,['Women -78 kg' 'Mixed Team'],20/11/1998,National: Francesco Bruyere (ITA).<br>Club: Antonio Chiara (ITA)
1925350,LOMBARDO Manuel,M,ITA,['Men -73 kg' 'Mixed Team'],4/12/1998,Club: Pierangelo Toniolo (Akiyama).<br>National:  Pierangelo Toniolo (ITA)
1925351,PARLATI Christian,M,ITA,['Men -90 kg' 'Mixed Team'],23/1/1998,Personal: Raffaele Parlati (ITA).<br>National:  Raffaele Parlati (ITA)
1925352,TAVANO Asya,F,ITA,['Women +78 kg' 'Mixed Team'],6/6/2002,National: Francesco Bruyere (ITA)
1925355,CHAMIZO MARQUEZ Frank,M,ITA,"[""Men's Freestyle 74kg""]",10/7/1992,Personal: Filiberto Delgado
1925359,RUSSO Aurora,F,ITA,"[""Women's Freestyle 57kg""]",3/6/2003,Personal: Andrea Sorbello Pietro Piscitelli
1925508,CARLINO Andrea,M,ITA,['Men -60 kg' 'Mixed Team'],17/1/1997,Pierangelo Toniolo (ITA)
1925513,PIRAS Matteo,M,ITA,['Men -66 kg' 'Mixed Team'],30/9/1993,Pierangelo Toniolo (ITA).<br>Mental coach: Marco Pacifico
1925515,ESPOSITO Antonio,M,ITA,['Men -81 kg' 'Mixed Team'],18/11/1994,Club: Raffaele Parlati (ITA).<br>National: Raffaele Parlati (ITA)
1925519,PIRELLI Gennaro,M,ITA,['Men -100 kg' 'Mixed Team'],21/8/2000,National: Raffaele Parlati
1925542,RUSSO Savita,F,ITA,['Women -63 kg' 'Mixed Team'],18/5/2005,Club: Maurizio Pelligra
1925630,PALTRINIERI Gregorio,M,ITA,"[""Men's 10km"" ""Men's 1500m Freestyle"" ""Men's 800m Freestyle""]",5/9/1994,Personal: Fabrizio Antonelli (ITA)
1925631,ACERENZA Domenico,M,ITA,"[""Men's 10km""]",19/1/1995,Club: Fabrizio Antonelli (ITA)
1925632,QUADARELLA Simona,F,ITA,"[""Women's 1500m Freestyle"" ""Women's 800m Freestyle""]",18/12/1998,Club: Christian Minotti (ITA)
1925633,MARTINENGHI Nicolo,M,ITA,"[""Men's 100m Breaststroke"" ""Men's 4 x 100m Medley Relay"" 'Mixed 4 x 100m Medley Relay']",1/8/1999,Club: Marco Pedoja
1925634,FRIGO Manuel,M,ITA,"[""Men's 4 x 100m Freestyle Relay"" 'Relay Only Athlete']",18/2/1997,Club: Claudio Rossetto
1925635,CECCON Thomas,M,ITA,"[""Men's 100m Backstroke"" ""Men's 200m Backstroke"" ""Men's 4 x 100m Freestyle Relay"" ""Men's 4 x 100m Medley Relay""]",27/1/2001,Personal: Alberto Burlina (ITA)
1925636,MIRESSI Alessandro,M,ITA,"[""Men's 100m Freestyle"" ""Men's 4 x 100m Freestyle Relay"" ""Men's 4 x 100m Medley Relay""]",2/10/1998,Club: Antonio Satta (CN Torino)
1925637,RAZZETTI Alberto,M,ITA,"[""Men's 200m Butterfly"" ""Men's 200m Individual Medley"" ""Men's 400m Individual Medley""]",2/6/1999,Personal: Stefano Franceschi (ITA)
1925638,PILATO Benedetta,F,ITA,"[""Women's 100m Breaststroke"" ""Women's 4 x 100m Medley Relay""]",18/1/2005,Personal: Antonio Satta
1925639,BIGINELLI Maia,F,ITA,"[""Women's 10m Platform""]",9/6/2003,
1925640,JODOIN di MARIA Sarah,F,ITA,"[""Women's 10m Platform""]",3/1/2000,Personal: Oscar Bertone (ITA)
1925641,BERTOCCHI Elena,F,ITA,"[""Women's 3m Springboard"" ""Women's Synchronised 3m Springboard""]",19/9/1994,
1925642,PELLACANI Chiara,F,ITA,"[""Women's 3m Springboard"" ""Women's Synchronised 3m Springboard""]",12/9/2002,
1925643,MARSAGLIA Lorenzo,M,ITA,"[""Men's 3m Springboard"" ""Men's Synchronised 3m Springboard""]",16/11/1996,
1925644,TOCCI Giovanni,M,ITA,"[""Men's 3m Springboard"" ""Men's Synchronised 3m Springboard""]",31/8/1994,
1925645,LARSEN Andreas Sargent,M,ITA,"[""Men's 10m Platform""]",20/4/1999,Benedetta Molaioli (ITA)
1925647,BRUNI Lorenzo,M,ITA,['Men'],8/4/1994,National: Sandro Campagna (ITA)
1925649,CONDEMI Francesco,M,ITA,['Men'],23/12/2003,National: Sandro Campagna (ITA).<br>Team: Sandro Sukno (ITA)
1925652,del LUNGO Marco,M,ITA,['Men'],1/3/1990,Sandro Campagna (ITA)
1925653,di FULVIO Francesco,M,ITA,['Men'],15/8/1993,Sandro Campagna (ITA)
1925654,di SOMMA Edoardo,M,ITA,['Men'],30/9/1996,National: Sandro Campagna (ITA)
1925656,ECHENIQUE Gonzalo,M,ITA,['Men'],27/4/1990,Sandro Campagna (ITA)
1925657,FONDELLI Andrea,M,ITA,['Men'],27/2/1994,Sandro Campagna (ITA)
1925658,GIANAZZA Tommaso,M,ITA,['Men'],21/7/2002,National: Sandro Campagna (ITA)
1925659,IOCCHI GRATTA Matteo,M,ITA,['Men'],1/9/2002,Team: Sandro Sukno (ITA).</p><p>National: Sandro Campagna (ITA)
1925664,NICOSIA Gianmarco,M,ITA,['Men'],12/2/1998,National: Sandro Campagna (ITA)
1925665,PRESCIUTTI Nicholas,M,ITA,['Men'],14/12/1993,National: Sandro Campagna (ITA)
1925666,RENZUTO IODICE Vincenzo,M,ITA,['Men'],8/4/1993,Sandro Campagna (ITA)
1925667,VELOTTO Alessandro,M,ITA,['Men'],12/2/1995,National: Sandro Campagna (ITA)
1925668,FRANCESCHI Sara,F,ITA,"[""Women's 200m Individual Medley"" ""Women's 400m Individual Medley""]",1/2/1999,Club: Stefano Franceschi (ITA) father
1925669,ZAZZERI Lorenzo,M,ITA,"[""Men's 4 x 100m Freestyle Relay"" ""Men's 50m Freestyle""]",9/8/1994,Club: Paolo Palchetti
1925671,CARINI Giacomo,M,ITA,"[""Men's 200m Butterfly"" ""Men's 4 x 100m Medley Relay""]",2/7/1997,Club: Matteo Giunta (ITA)
1925675,CONTE BONIN Paolo,M,ITA,"[""Men's 4 x 100m Freestyle Relay"" 'Relay Only Athlete']",9/2/2002,Club: Claudio Rossetto Ostia (ITA)
1925677,de TULLIO Luca,M,ITA,"[""Men's 1500m Freestyle"" ""Men's 800m Freestyle""]",21/9/2003,Club: Christian Minotti
1925678,de TULLIO Marco,M,ITA,"[""Men's 400m Freestyle""]",21/9/2000,Club: Christian Minotti (ITA)
1925681,DEPLANO Leonardo,M,ITA,"[""Men's 100m Freestyle"" ""Men's 4 x 100m Freestyle Relay"" ""Men's 50m Freestyle""]",21/7/1999,Club: Sandra Michelini
1925683,LAMBERTI Matteo,M,ITA,"[""Men's 400m Freestyle""]",24/3/1999,Personal: Stefano Franceschi
1925684,LAMBERTI Michele,M,ITA,"[""Men's 100m Backstroke"" 'Mixed 4 x 100m Medley Relay']",3/11/2000,Personal: Alberto Burlina (ITA)
1925686,MEGLI Filippo,M,ITA,"[""Men's 200m Freestyle"" ""Men's 4 x 200m Freestyle Relay""]",10/5/1997,Club: Paolo Palchetti (ITA)
1925690,RAGAINI Alessandro,M,ITA,"[""Men's 200m Freestyle"" ""Men's 4 x 200m Freestyle Relay""]",2/8/2006,Club: Alessandro Cavalletti (ITA)
1925691,RESTIVO Matteo,M,ITA,"[""Men's 200m Backstroke""]",4/11/1994,Club: Paolo Palchetti
1925692,VIBERTI Ludovico Blu Art,M,ITA,"[""Men's 100m Breaststroke""]",8/2/2002,Club: Antonio Satta
1925693,GIOVANNINI Riccardo,M,ITA,"[""Men's 10m Platform""]",14/3/2003,
1925700,GABBRIELLESCHI Giulia,F,ITA,"[""Women's 10km""]",24/7/1996,Club: Massimiliano Lombardi
1925701,CERRUTI Linda,F,ITA,['Team' 'Duet'],7/10/1993,National: Patrizia Giallombardo (ITA) Anastasia Ermakova (RUS).<br>Club: Benedetta Parisella (ITA)
1925702,ZUNINO Francesca,F,ITA,['Team'],13/2/2000,National: Patrizia Giallombardo (ITA) Anastasia Ermakova (RUS).<br>Club: Benedetta Parisella (ITA)
1925703,SPORTELLI Isotta,F,ITA,['Team'],2/1/2000,National: Patrizia Giallombardo (ITA)
1925706,PICCOLI Enrica,F,ITA,['Team'],19/1/1999,National: Patrizia Giallombardo (ITA).<br>Personal: Federica De Bortoli Simona Ricotta (ITA)
1925707,PEDOTTI Susanna,F,ITA,['Team'],13/9/2004,
1925711,IACOACCI Marta,F,ITA,['Team'],24/11/2000,National: Patrizia Giallombardo (ITA)
1925713,MASTROIANNI Sofia,F,ITA,['Team'],2/8/2001,National: Patrizia Giallombardo (ITA) Anastasia Ermakova (RUS).<br>Club: Benedetta Parisella (ITA)
1925715,VERNICE Giulia,F,ITA,['Team'],18/6/2005,National: Patrizia Giallombardo (ITA).<br>Club: Benedetta Parisella (ITA) Federica Sala (ITA)
1925719,RUGGIERO Lucrezia,F,ITA,['Team' 'Duet'],7/6/2000,National: Patrizia Giallombardo (ITA)
1925721,ANGIOLINI Lisa,F,ITA,"[""Women's 100m Breaststroke""]",29/6/1995,Club: Gianluca Valeri (ITA)
1925725,COCCONCELLI Costanza,F,ITA,"[""Women's 100m Butterfly"" 'Mixed 4 x 100m Medley Relay']",26/1/2002,Club: Paolo Palchetti Florence (ITA)
1925727,D'INNOCENZO Giulia,F,ITA,"[""Women's 4 x 200m Freestyle Relay"" 'Relay Only Athlete']",17/5/2002,Club: Sandro Signori
1925728,CURTIS Sara,F,ITA,"[""Women's 4 x 100m Freestyle Relay"" ""Women's 50m Freestyle""]",19/8/2006,Club: Thomas Maggiora
1925733,ARTAMONOVA Sona,F,CZE,"['Women' ""Women's All-Around"" ""Women's Balance Beam"" ""Women's Floor Exercise"" ""Women's Uneven Bars"" ""Women's Vault""]",9/10/2007,Personal: Katerina Janeckova (CZE)
1925749,KLAMMERT David,M,CZE,['Men -90 kg'],9/4/1994,Personal: Marcel Frenstatsky (CZE).<br>National: Petr Lacina (CZE)
1925750,KRPALEK Lukas,M,CZE,['Men +100 kg'],15/11/1990,National: Petr Lacina (CZE)
1925751,ZACHOVA Renata,F,CZE,['Women -63 kg'],31/5/2000,National/Club: Jiri Stepan (CZE)
1925762,GRYCZ Marek,M,CZE,"[""Men's Individual""]",15/9/1997,
1925763,HLAVACKOVA Lucie,F,CZE,"[""Women's Individual""]",30/9/2005,National: Jakub Kucera (CZE).<br>Personal: David Svoboda (CZE) - individual modern pentathlon champion at London 2012
1925766,NOVOTNA Veronika,F,CZE,"[""Women's Individual""]",11/11/2000,
1925768,VLACH Martin,M,CZE,"[""Men's Individual""]",2/5/1997,National: Jakub Kucera (CZE)
1925785,FANGIO Francesca,F,ITA,"[""Women's 200m Breaststroke""]",17/8/1995,Club: Stefano Franceschi
1925790,MENICUCCI Emma Virginia,F,ITA,"[""Women's 4 x 100m Freestyle Relay"" 'Relay Only Athlete']",11/5/2002,Club: Sandro Signori
1925791,MORINI Sofia,F,ITA,"[""Women's 4 x 100m Freestyle Relay"" ""Women's 4 x 100m Medley Relay"" ""Women's 4 x 200m Freestyle Relay"" 'Relay Only Athlete' 'Mixed 4 x 100m Medley Relay']",8/3/2003,Personal: Stefano Franceschi
1925793,PANZIERA Margherita,F,ITA,"[""Women's 200m Backstroke"" ""Women's 4 x 100m Medley Relay""]",12/8/1995,Club: Gianluca Belfiore (ITA)
1925795,RAMATELLI Giulia,F,ITA,"[""Women's 4 x 200m Freestyle Relay"" 'Relay Only Athlete']",9/9/2000,Club: Fabrizio Antonelli (ITA)
1925797,SCOTTO di CARLO Viola,F,ITA,"[""Women's 100m Butterfly"" ""Women's 4 x 100m Medley Relay""]",27/6/2003,Club: Fabrizio Fusco
1925798,TARANTINO Chiara,F,ITA,"[""Women's 4 x 100m Freestyle Relay"" 'Relay Only Athlete']",14/8/2003,Club: Mauro Borgia
