medal_type,medal_code,name,gender,discipline,event,code,country_code
Bronze Medal,3,PANG Cholmi,F,Boxing,Women's 54kg,1980125,PRK
Bronze Medal,3,IM Aeji,F,Boxing,Women's 54kg,1891890,KOR
Gold Medal,1,Kristen FAULKNER,F,Cycling Road,Women's Road Race,1955081,USA
Silver Medal,2,Marianne VOS,F,Cycling Road,Women's Road Race,1969165,NED
Bronze Medal,3,Lotte KOPECKY,F,Cycling Road,Women's Road Race,1903120,BEL
Gold Medal,1,Jessica von BREDOW-WERNDL,O,Equestrian,Dressage Individual,1914905,GER
Silver Medal,2,Isabell WERTH,O,Equestrian,Dressage Individual,1914909,GER
Bronze Medal,3,Charlotte FRY,O,Equestrian,Dressage Individual,1970905,GBR
Gold Medal,1,Japan,M,Fencing,Men's Foil Team,FENMTEAMFOILJPN01,JPN
Silver Medal,2,Italy,M,Fencing,Men's Foil Team,FENMTEAMFOILITA01,ITA
Bronze Medal,3,France,M,Fencing,Men's Foil Team,FENMTEAMFOILFRA01,FRA
Gold Medal,1,Scottie SCHEFFLER,M,Golf,Men's Individual Stroke Play,1951724,USA
Silver Medal,2,Tommy FLEETWOOD,M,Golf,Men's Individual Stroke Play,1923629,GBR
Bronze Medal,3,MATSUYAMA Hideki,M,Golf,Men's Individual Stroke Play,1961406,JPN
Gold Medal,1,Francisca CROVETTO CHADID,F,Shooting,Skeet Women,1937878,CHI
Silver Medal,2,Amber Jo RUTTER,F,Shooting,Skeet Women,1977402,GBR
Bronze Medal,3,Austen Jewell SMITH,F,Shooting,Skeet Women,1944397,USA
Gold Medal,1,Bobby FINKE,M,Swimming,Men's 1500m Freestyle,1935902,USA
Silver Medal,2,Gregorio PALTRINIERI,M,Swimming,Men's 1500m Freestyle,1925630,ITA
Bronze Medal,3,Daniel WIFFEN,M,Swimming,Men's 1500m Freestyle,1539969,IRL
Gold Medal,1,China,M,Swimming,Men's 4 x 100m Medley Relay,SWMM4X100MMDCHN01,CHN
Silver Medal,2,United States,M,Swimming,Men's 4 x 100m Medley Relay,SWMM4X100MMDUSA01,USA
Bronze Medal,3,France,M,Swimming,Men's 4 x 100m Medley Relay,SWMM4X100MMDFRA01,FRA
Gold Medal,1,United States,F,Swimming,Women's 4 x 100m Medley Relay,SWMW4X100MMDUSA01,USA
Silver Medal,2,Australia,F,Swimming,Women's 4 x 100m Medley Relay,SWMW4X100MMDAUS01,AUS
Bronze Medal,3,China,F,Swimming,Women's 4 x 100m Medley Relay,SWMW4X100MMDCHN01,CHN
Gold Medal,1,Sarah SJOESTROEM,F,Swimming,Women's 50m Freestyle,1572557,SWE
Silver Medal,2,Meg HARRIS,F,Swimming,Women's 50m Freestyle,1946212,AUS
Bronze Medal,3,ZHANG Yufei,F,Swimming,Women's 50m Freestyle,1945125,CHN
Gold Medal,1,FAN Zhendong,M,Table Tennis,Men's Singles,1902295,CHN
Silver Medal,2,Truls MOREGARD,M,Table Tennis,Men's Singles,1563390,SWE
Bronze Medal,3,Felix LEBRUN,M,Table Tennis,Men's Singles,1889177,FRA
Gold Medal,1,Novak DJOKOVIC,M,Tennis,Men's Singles,1956398,SRB
Silver Medal,2,Carlos ALCARAZ,M,Tennis,Men's Singles,1563682,ESP
Gold Medal,1,ERRANI/PAOLINI,F,Tennis,Women's Doubles,TENWDOUBLES-ITA01,ITA
Silver Medal,2,ANDREEVA/SHNAIDER,F,Tennis,Women's Doubles,TENWDOUBLES-AIN02,AIN
Bronze Medal,3,BUCSA/SORRIBES TORMO,F,Tennis,Women's Doubles,TENWDOUBLES-ESP01,ESP
Gold Medal,1,Netherlands,M,3x3 Basketball,Men,BK3MTEAM3---NED01,NED
Silver Medal,2,France,M,3x3 Basketball,Men,BK3MTEAM3---FRA01,FRA
Bronze Medal,3,Lithuania,M,3x3 Basketball,Men,BK3MTEAM3---LTU01,LTU
Gold Medal,1,Germany,F,3x3 Basketball,Women,BK3WTEAM3---GER01,GER
Silver Medal,2,Spain,F,3x3 Basketball,Women,BK3WTEAM3---ESP01,ESP
Bronze Medal,3,United States,F,3x3 Basketball,Women,BK3WTEAM3---USA01,USA
Gold Medal,1,OKA Shinnosuke,M,Artistic Gymnastics,Men's Horizontal Bar,1919480,JPN
Silver Medal,2,Angel BARAJAS,M,Artistic Gymnastics,Men's Horizontal Bar,1935685,COL
Bronze Medal,3,ZHANG Boheng,M,Artistic Gymnastics,Men's Horizontal Bar,1918864,CHN
Bronze Medal,3,TANG Chia-Hung,M,Artistic Gymnastics,Men's Horizontal Bar,1878037,TPE
Gold Medal,1,ZOU Jingyuan,M,Artistic Gymnastics,Men's Parallel Bars,1918865,CHN
