medal_type,medal_code,name,gender,discipline,event,code,country_code
Gold Medal,1,Janja GARNBRET,F,Sport Climbing,Women's Boulder & Lead,1981131,SLO
Silver Medal,2,Brooke RABOUTOU,F,Sport Climbing,Women's Boulder & Lead,1950307,USA
Bronze Medal,3,Jessica PILZ,F,Sport Climbing,Women's Boulder & Lead,1560673,AUT
Gold Medal,1,China,F,Table Tennis,Women's Team,TTEWTEAM----CHN01,CHN
Silver Medal,2,Japan,F,Table Tennis,Women's Team,TTEWTEAM----JPN01,JPN
Bronze Medal,3,Korea,F,Table Tennis,Women's Team,TTEWTEAM----KOR01,KOR
Gold Medal,1,Arian SALIMI,M,Taekwondo,Men +80kg,1536045,IRI
Silver Medal,2,Caden CUNNINGHAM,M,Taekwondo,Men +80kg,1896149,GBR
Bronze Medal,3,Rafael ALBA,M,Taekwondo,Men +80kg,1897088,CUB
Bronze Medal,3,Cheick Sallah CISSE,M,Taekwondo,Men +80kg,1548401,CIV
Gold Medal,1,Althea LAURIN,F,Taekwondo,Women +67kg,1893272,FRA
Silver Medal,2,Svetlana OSIPOVA,F,Taekwondo,Women +67kg,1887768,UZB
Bronze Medal,3,LEE Dabin,F,Taekwondo,Women +67kg,1904039,KOR
Bronze Medal,3,Nafia KUS AYDIN,F,Taekwondo,Women +67kg,1566738,TUR
Gold Medal,1,France,M,Volleyball,Men,VVOMTEAM6---FRA01,FRA
Silver Medal,2,Poland,M,Volleyball,Men,VVOMTEAM6---POL01,POL
Bronze Medal,3,Brazil,F,Volleyball,Women,VVOWTEAM6---BRA01,BRA
Gold Medal,1,Spain,F,Water Polo,Women,WPOWTEAM7---ESP01,ESP
Silver Medal,2,Australia,F,Water Polo,Women,WPOWTEAM7---AUS01,AUS
Bronze Medal,3,Netherlands,F,Water Polo,Women,WPOWTEAM7---NED01,NED
Gold Medal,1,Lasha TALAKHADZE,M,Weightlifting,Men's +102kg,1551443,GEO
Silver Medal,2,Varazdat LALAYAN,M,Weightlifting,Men's +102kg,1544424,ARM
Bronze Medal,3,Gor MINASYAN,M,Weightlifting,Men's +102kg,1540334,BRN
Gold Medal,1,LIU Huanhua,M,Weightlifting,Men's 102kg,1918369,CHN
Silver Medal,2,Akbar DJURAEV,M,Weightlifting,Men's 102kg,1551307,UZB
Bronze Medal,3,Yauheni TSIKHANTSOU,M,Weightlifting,Men's 102kg,1569832,AIN
Gold Medal,1,Solfrid Eila Amena KOANDA,F,Weightlifting,Women's 81kg,1878625,NOR
Silver Medal,2,Sara AHMED,F,Weightlifting,Women's 81kg,1563010,EGY
Bronze Medal,3,Neisi Patricia DAJOMES BARRERA,F,Weightlifting,Women's 81kg,1940308,ECU
Gold Medal,1,Geno PETRIASHVILI,M,Wrestling,Men's Freestyle 125kg,1554885,GEO
Silver Medal,2,Amir Hossein ZARE,M,Wrestling,Men's Freestyle 125kg,1543088,IRI
Bronze Medal,3,Taha AKGUL,M,Wrestling,Men's Freestyle 125kg,1570546,TUR
Bronze Medal,3,Giorgi MESHVILDISHVILI,M,Wrestling,Men's Freestyle 125kg,1947172,AZE
Gold Medal,1,Razambek Salambekovitch JAMALOV,M,Wrestling,Men's Freestyle 74kg,1562164,UZB
Silver Medal,2,TAKATANI Daichi,M,Wrestling,Men's Freestyle 74kg,1939708,JPN
Bronze Medal,3,Kyle Douglas DAKE,M,Wrestling,Men's Freestyle 74kg,1955345,USA
Bronze Medal,3,Chermen VALIEV,M,Wrestling,Men's Freestyle 74kg,3429662,ALB
Gold Medal,1,MOTOKI Sakura,F,Wrestling,Women's Freestyle 62kg,1939702,JPN
Silver Medal,2,Iryna KOLIADENKO,F,Wrestling,Women's Freestyle 62kg,1897022,UKR
Bronze Medal,3,Aisuluu TYNYBEKOVA,F,Wrestling,Women's Freestyle 62kg,1902786,KGZ
Bronze Medal,3,Grace Jacob BULLEN,F,Wrestling,Women's Freestyle 62kg,1878635,NOR
Gold Medal,1,Sifan HASSAN,F,Athletics,Women's Marathon,1972105,NED
Silver Medal,2,Tigst ASSEFA,F,Athletics,Women's Marathon,1901487,ETH
Bronze Medal,3,Hellen OBIRI,F,Athletics,Women's Marathon,1932851,KEN
Gold Medal,1,United States,F,Basketball,Women,BKBWTEAM5---USA01,USA
Silver Medal,2,France,F,Basketball,Women,BKBWTEAM5---FRA01,FRA
Bronze Medal,3,Australia,F,Basketball,Women,BKBWTEAM5---AUS01,AUS
Gold Medal,1,Harrie LAVREYSEN,M,Cycling Track,Men's Keirin,1969182,NED
Silver Medal,2,Matthew RICHARDSON,M,Cycling Track,Men's Keirin,1940263,AUS
Bronze Medal,3,Matthew GLAETZER,M,Cycling Track,Men's Keirin,1940262,AUS
Gold Medal,1,Jennifer VALENTE,F,Cycling Track,Women's Omnium,1955106,USA
Silver Medal,2,Daria PIKULIK,F,Cycling Track,Women's Omnium,1572953,POL
Bronze Medal,3,Ally WOLLASTON,F,Cycling Track,Women's Omnium,1945080,NZL
Gold Medal,1,Ellesse ANDREWS,F,Cycling Track,Women's Sprint,1945040,NZL
Silver Medal,2,Lea FRIEDRICH,F,Cycling Track,Women's Sprint,1889704,GER
Bronze Medal,3,Emma FINUCANE,F,Cycling Track,Women's Sprint,1912522,GBR
Gold Medal,1,Denmark,M,Handball,Men,HBLMTEAM7---DEN01,DEN
Silver Medal,2,Germany,M,Handball,Men,HBLMTEAM7---GER01,GER
Bronze Medal,3,Spain,M,Handball,Men,HBLMTEAM7---ESP01,ESP
Gold Medal,1,Michelle GULYAS,F,Modern Pentathlon,Women's Individual,1936619,HUN
Silver Medal,2,Elodie CLOUVEL,F,Modern Pentathlon,Women's Individual,1545116,FRA
Bronze Medal,3,SEONG Seungmin,F,Modern Pentathlon,Women's Individual,1786902,KOR
Gold Medal,1,Italy,F,Volleyball,Women,VVOWTEAM6---ITA01,ITA
Silver Medal,2,United States,F,Volleyball,Women,VVOWTEAM6---USA01,USA
Gold Medal,1,Serbia,M,Water Polo,Men,WPOMTEAM7---SRB01,SRB
Silver Medal,2,Croatia,M,Water Polo,Men,WPOMTEAM7---CRO01,CRO
Bronze Medal,3,United States,M,Water Polo,Men,WPOMTEAM7---USA01,USA
Gold Medal,1,LI Wenwen,F,Weightlifting,Women's +81kg,1918376,CHN
Silver Medal,2,PARK Hyejeong,F,Weightlifting,Women's +81kg,1894414,KOR
Bronze Medal,3,Emily CAMPBELL,F,Weightlifting,Women's +81kg,1544179,GBR
Gold Medal,1,KIYOOKA Kotaro,M,Wrestling,Men's Freestyle 65kg,1939700,JPN
Silver Medal,2,Rahman AMOUZADKHALILI,M,Wrestling,Men's Freestyle 65kg,1544830,IRI
Bronze Medal,3,Sebastian C RIVERA,M,Wrestling,Men's Freestyle 65kg,1537188,PUR
Bronze Medal,3,Islam DUDAEV,M,Wrestling,Men's Freestyle 65kg,1559387,ALB
Gold Medal,1,Akhmed TAZHUDINOV,M,Wrestling,Men's Freestyle 97kg,1540305,BRN
Silver Medal,2,Givi MATCHARASHVILI,M,Wrestling,Men's Freestyle 97kg,1552495,GEO
Bronze Medal,3,Magomedkhan MAGOMEDOV,M,Wrestling,Men's Freestyle 97kg,1981785,AZE
Bronze Medal,3,Amirali AZARPIRA,M,Wrestling,Men's Freestyle 97kg,1543095,IRI
Gold Medal,1,KAGAMI Yuka,F,Wrestling,Women's Freestyle 76kg,1939701,JPN
Silver Medal,2,Kennedy Alexis BLADES,F,Wrestling,Women's Freestyle 76kg,1955344,USA
Bronze Medal,3,Milaimy de la Carid. MARIN POTRILLE,F,Wrestling,Women's Freestyle 76kg,1571936,CUB
Bronze Medal,3,Tatiana RENTERIA RENTERIA,F,Wrestling,Women's Freestyle 76kg,1535513,COL
Gold Medal,1,People's Republic of China,F,Rhythmic Gymnastics,Group All-Around,GRYW5AA-----CHN01,CHN
Silver Medal,2,Israel,F,Rhythmic Gymnastics,Group All-Around,GRYW5AA-----ISR01,ISR
Bronze Medal,3,Italy,F,Rhythmic Gymnastics,Group All-Around,GRYW5AA-----ITA01,ITA
Gold Medal,1,VARFOLOMEEV Darja,F,Rhythmic Gymnastics,Individual All-Around,1896230,GER
Silver Medal,2,KALEYN Boryana,F,Rhythmic Gymnastics,Individual All-Around,1548948,BUL
Bronze Medal,3,RAFFAELI Sofia,F,Rhythmic Gymnastics,Individual All-Around,1923694,ITA
Gold Medal,1,THIAM Nafissatou,F,Athletics,Women's Heptathlon,1903112,BEL
Silver Medal,2,JOHNSON-THOMPSON Katarina,F,Athletics,Women's Heptathlon,1977926,GBR
Bronze Medal,3,VIDTS Noor,F,Athletics,Women's Heptathlon,1895596,BEL
